,query,symbol
552,ENSG00000167680,SEMA6B
553,ENSG00000167693,NXN
554,ENSG00000167705,RILP
555,ENSG00000167772,ANGPTL4
556,ENSG00000167779,IGFBP6
557,ENSG00000167799,NUDT8
558,ENSG00000167920,KRT10-AS1
559,ENSG00000167994,RAB3IL1
560,ENSG00000167995,BEST1
561,ENSG00000167996,FTH1
562,ENSG00000168071,CCDC88B
563,ENSG00000168140,VASN
564,ENSG00000168209,DDIT4
565,ENSG00000168350,DEGS2
566,ENSG00000168389,MFSD2A
567,ENSG00000168447,SCNN1B
568,ENSG00000168477,TNXB
569,ENSG00000168528,SERINC2
570,ENSG00000168542,COL3A1
571,ENSG00000168993,CPLX1
572,ENSG00000169026,SLC49A3
573,ENSG00000169442,CD52
574,ENSG00000169554,ZEB2
575,ENSG00000169710,FASN
576,ENSG00000169908,TM4SF1
577,ENSG00000170271,FAXDC2
578,ENSG00000170345,FOS
579,ENSG00000170369,CST2
580,ENSG00000170373,CST1
581,ENSG00000170421,KRT8
582,ENSG00000170458,CD14
583,ENSG00000170476,MZB1
584,ENSG00000170525,PFKFB3
585,ENSG00000170561,IRX2
586,ENSG00000170801,HTRA3
587,ENSG00000170873,MTSS1
588,ENSG00000170955,CAVIN3
589,ENSG00000171045,TSNARE1
590,ENSG00000171051,FPR1
591,ENSG00000171227,TMEM37
592,ENSG00000171345,KRT19
593,ENSG00000171346,KRT15
594,ENSG00000171631,P2RY6
595,ENSG00000171914,TLN2
596,ENSG00000171992,SYNPO
597,ENSG00000172057,ORMDL3
598,ENSG00000172061,LRRC15
599,ENSG00000172216,CEBPB
600,ENSG00000172270,BSG
601,ENSG00000172349,IL16
602,ENSG00000172426,RSPH9
603,ENSG00000172531,PPP1CA
604,ENSG00000172638,EFEMP2
605,ENSG00000172794,RAB37
606,ENSG00000172809,RPL38
607,ENSG00000172889,EGFL7
608,ENSG00000172890,NADSYN1
609,ENSG00000172935,MRGPRF
610,ENSG00000173227,SYT12
611,ENSG00000173262,SLC2A14
612,ENSG00000173269,MMRN2
613,ENSG00000173369,C1QB
614,ENSG00000173372,C1QA
